sku,name,generic_name,brand_name,category_code,strength,base_unit_abbreviation,purchase_unit_abbreviation,dispensing_unit_abbreviation,selling_price,reorder_level,status,manage_stock
N02BE01-500MG-TAB-GSK,"Paracetamol 500mg Tablet (Example)",N02BE01,GSK,TAB,500MG,TAB,TAB,TAB,2.50,10,active,1
J01CA04-500MG-CAP-ABB,"Amoxicillin 500mg Capsule (Example)",J01CA04,Abbott,CAP,500MG,CAP,CAP,CAP,15.00,10,active,1
OXI-1GM-INJ,"OXIDIL 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,450,5,active,1
OXI-2GM-INJ,"OXIDIL 2GM INJ",,,INJ,2GM,INJ,INJ,INJ,680,5,active,1
OXI-500MG-INJ,"OXIDIL 500MG I/V INJ",,,INJ,500MG,INJ,INJ,INJ,280,5,active,1
OXI-500MG-INJ-001,"OXIDIL 500MG I/M INJ",,,INJ,500MG,INJ,INJ,INJ,310,5,active,1
VIN-4.5MG-INJ,"VINZET 4.5MG INJ",,,INJ,4.5MG,INJ,INJ,INJ,1078,5,active,1
DAY-500MG-INJ,"DAYLINE 500MG INJ",,,INJ,500MG,INJ,INJ,INJ,346,5,active,1
DAY-2GM-INJ,"DAYLINE 2GM INJ",,,INJ,2GM,INJ,INJ,INJ,698,5,active,1
PAN-1GM-INJ,"PANSEVE 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,2990,5,active,1
SUL-2GM-INJ,"SULBRON 2G INJ",,,INJ,2GM,INJ,INJ,INJ,650,5,active,1
CEF-1GM-INJ,"CEFOWRD 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,490,5,active,1
HAR-500MG-INJ,"HARRION 500MG INJ",,,INJ,500MG,INJ,INJ,INJ,305,5,active,1
UNI-1GM-INJ,"UNIXON 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,510,5,active,1
KOR-1GM-INJ,"KOREPHIN 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,590,5,active,1
SAB-40MG-INJ,"SABIZOLE 40MG INJ",,,INJ,40MG,INJ,INJ,INJ,585,5,active,1
BON-INJ,"BONIAN INJ",,,INJ,,INJ,INJ,INJ,214,5,active,1
GRA-1GM-INJ,"GRAVIBINAN 1GM",,,INJ,1GM,INJ,INJ,INJ,343.70999999999998,5,active,1
GRA-2GM-INJ,"GRAVIBINAN 2GM",,,INJ,2GM,INJ,INJ,INJ,601,5,active,1
MET-INJ,"METOMIDE INJ",,,INJ,,INJ,INJ,INJ,59.44,5,active,1
MIC-INJ,"MICROMIN INJ",,,INJ,,INJ,INJ,INJ,70,5,active,1
MUS-INJ,"MUSCOLIN INJ",,,INJ,,INJ,INJ,INJ,120,5,active,1
DIC-INJ,"DICLORAN INJ",,,INJ,,INJ,INJ,INJ,55,5,active,1
TON-INJ,"TONOFLEX INJ",,,INJ,,INJ,INJ,INJ,78,5,active,1
KIP-INJ,"KIPOWEL INJ",,,INJ,,INJ,INJ,INJ,174.40000000000001,5,active,1
DAY-1GM-INJ,"DAYZONE 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,460,5,active,1
HYZ-100MG-INJ,"HYZONATE 100MG INJ",,,INJ,100MG,INJ,INJ,INJ,135.050000000000011,5,active,1
HYZ-250MG-INJ,"HYZONATE 250MG INJ",,,INJ,250MG,INJ,INJ,INJ,239.88,5,active,1
HYZ-500MG-INJ,"HYZONATE 500MG INJ",,,INJ,500MG,INJ,INJ,INJ,523.75,5,active,1
FYT-INJ,"FYTODON INJ",,,INJ,,INJ,INJ,INJ,131,5,active,1
TRI-INJ,"TRICATEM INJ",,,INJ,,INJ,INJ,INJ,77.89,5,active,1
VIT-INJ,"VIT-K1 INJ",,,INJ,,INJ,INJ,INJ,139.75,5,active,1
LEV-INJ,"LEVIJON INJ",,,INJ,,INJ,INJ,INJ,98.92,5,active,1
PCA-INJ,"P CAM INJ",,,INJ,,INJ,INJ,INJ,39.049999999999997,5,active,1
UBR-INJ,"UBROF INJ",,,INJ,,INJ,INJ,INJ,261.74000000000001,5,active,1
PRO-2ML-INJ,"PROVAS 2ML INJ",,,INJ,2ML,INJ,INJ,INJ,31,5,active,1
SPA-INJ,"SPAS FORT INJ",,,INJ,,INJ,INJ,INJ,110,5,active,1
ZOP-40MG-INJ,"ZOPENT 40MG INJ",,,INJ,40MG,INJ,INJ,INJ,384,5,active,1
NOV-INJ,"NOVA PRESSION INJ",,,INJ,,INJ,INJ,INJ,1500,5,active,1
SUN-INJ,"SUNVIT INJ",,,INJ,,INJ,INJ,INJ,284,5,active,1
GRA-INJ,"GRAVINATE INJ",,,INJ,,INJ,INJ,INJ,20,5,active,1
NEU-INJ,"NEUROBION INJ",,,INJ,,INJ,INJ,INJ,52,5,active,1
NOS-INJ,"NO-SPA INJ",,,INJ,,INJ,INJ,INJ,100,5,active,1
DOP-INJ,"DOPAMIN INJ",,,INJ,,INJ,INJ,INJ,200,5,active,1
LAB-INJ,"LABITALOL INJ",,,INJ,,INJ,INJ,INJ,51.55,5,active,1
SPA-INJ-001,"SPASRID INJ",,,INJ,,INJ,INJ,INJ,78,5,active,1
TRA-500MG-INJ,"TRANSAMIN 500MG INJ",,,INJ,500MG,INJ,INJ,INJ,162.19999999999999,5,active,1
TRA-250MG-INJ,"TRANSAMIN 250MG INJ",,,INJ,250MG,INJ,INJ,INJ,83.3,5,active,1
GEN-INJ,"GENTAMYCIN INJ",,,INJ,,INJ,INJ,INJ,107.59999999999999,5,active,1
GLY-INJ,"GLYCOSTING INJ",,,INJ,,INJ,INJ,INJ,741.41999999999996,5,active,1
MUL-INJ,"MULTIBIONTA INJ",,,INJ,,INJ,INJ,INJ,129,5,active,1
MYL-INJ,"MYLAXON INJ",,,INJ,,INJ,INJ,INJ,81.5,5,active,1
PAR-INJ,"PARACETAM INJ",,,INJ,,INJ,INJ,INJ,42.5,5,active,1
BOF-INJ,"BOFALGAN INF",,,INJ,,INJ,INJ,INJ,250,5,active,1
CAL-1.2MG-INJ,"CALAMOX 1.2MG INJ",,,INJ,1.2MG,INJ,INJ,INJ,271.069999999999993,5,active,1
DAY-1GM-INJ-001,"DAYPIME 1GM INJ",,,INJ,1GM,INJ,INJ,INJ,860,5,active,1
LEF-500MG-INJ,"LEFLOX 500MG INJ",,,INJ,500MG,INJ,INJ,INJ,570,5,active,1
LEF-750MG-INJ,"LEFLOX 750MG INJ",,,INJ,750MG,INJ,INJ,INJ,430,5,active,1
MOX-INJ,"MOXIGET INJ",,,INJ,,INJ,INJ,INJ,532.79999999999995,5,active,1
CIP-200MG-INJ,"CIPESTA 200MG INJ",,,INJ,200MG,INJ,INJ,INJ,259.50999999999999,5,active,1
WAT-INJ,"WATER INJ",,,INJ,,INJ,INJ,INJ,20,5,active,1
DEX-INJ,"DEXA INJ",,,INJ,,INJ,INJ,INJ,20,5,active,1
KIN-10MG-INJ,"KINZ 10MG INJ",,,INJ,10MG,INJ,INJ,INJ,138,5,active,1
TRA-INJ,"TRAMACUTE INJ",,,INJ,,INJ,INJ,INJ,58.6,5,active,1
DOR-INJ,"DORMICUM INJ",,,INJ,,INJ,INJ,INJ,300,5,active,1
DIA-INJ,"DIAZIPAM INJ",,,INJ,,INJ,INJ,INJ,100,5,active,1
NAL-10MG-INJ,"NALE 10MG INJ",,,INJ,10MG,INJ,INJ,INJ,77.5,5,active,1
MID-INJ,"MIDAZOCIN INJ",,,INJ,,INJ,INJ,INJ,60,5,active,1
BUP-INJ,"BUPICAIN INJ",,,INJ,,INJ,INJ,INJ,74,5,active,1
HIF-INJ,"HIFER INJ",,,INJ,,INJ,INJ,INJ,533.20000000000005,5,active,1
IRO-INJ,"IROSIN INJ",,,INJ,,INJ,INJ,INJ,295,5,active,1
TRI-500MG-INJ,"TRICETAM 500MG",,,INJ,500MG,INJ,INJ,INJ,389,5,active,1
OME-INJ,"OMEC INJ",,,INJ,,INJ,INJ,INJ,390,5,active,1
PAR-2GM-INJ,"PARACEF-S 2G INJ",,,INJ,2GM,INJ,INJ,INJ,695,5,active,1
MER-1GM-INJ,"MEROCIN 1G",,,INJ,1GM,INJ,INJ,INJ,2990,5,active,1
HYT-INJ,"HYTORAC INJ",,,INJ,,INJ,INJ,INJ,119,5,active,1
INS-INJ,"INSUGET 70/30",,,INJ,,INJ,INJ,INJ,900,5,active,1
QAD-INJ,"QADMOL INF",,,INJ,,INJ,INJ,INJ,225,5,active,1
PAN-INJ,"PANTRA PLUS INJ",,,INJ,,INJ,INJ,INJ,42,5,active,1
MAG-INJ,"MAGNESIUM SULPHATE INJ",,,INJ,,INJ,INJ,INJ,23.37,5,active,1
MUC-SYP,"MUCAIN SYP",,,SYP,,SYP,SYP,SYP,173,5,active,1
BIS-SYP,"BISMOL SYP",,,SYP,,SYP,SYP,SYP,108.65000000000001,5,active,1
PAN-SYP,"PANADOL SYP",,,SYP,,SYP,SYP,SYP,143.44999999999999,5,active,1
CRE-SYP,"CREMAFIN SYP",,,SYP,,SYP,SYP,SYP,78.48,5,active,1
ASF-SYP,"ASFEN SYP",,,SYP,,SYP,SYP,SYP,89.77,5,active,1
CEL-SYP,"CELERON SYP",,,SYP,,SYP,SYP,SYP,1200,5,active,1
POL-SYP,"POLYMALT SYP",,,SYP,,SYP,SYP,SYP,323.97000000000003,5,active,1
API-SYP,"APIZET SYP",,,SYP,,SYP,SYP,SYP,398,5,active,1
TUC-SYP,"TUCANA SYP",,,SYP,,SYP,SYP,SYP,259.92000000000002,5,active,1
TUC-SYP-001,"TUCANA DS SYP",,,SYP,,SYP,SYP,SYP,328.31999999999999,5,active,1
CAL-125MG-SYP,"CALTIS 125MG SYP",,,SYP,125MG,SYP,SYP,SYP,397,5,active,1
CAL-250MG-SYP,"CALTIS 250MG SYP",,,SYP,250MG,SYP,SYP,SYP,656,5,active,1
ORO-SYP,"OROMI-L SYP",,,SYP,,SYP,SYP,SYP,328,5,active,1
DCA-SYP,"D-CALL SYP",,,SYP,,SYP,SYP,SYP,320,5,active,1
ONT-SYP,"ONTRO SYP",,,SYP,,SYP,SYP,SYP,499,5,active,1
DOM-SYP,"DOMEL SYP",,,SYP,,SYP,SYP,SYP,100,5,active,1
HIL-SYP,"HILGAS SYP",,,SYP,,SYP,SYP,SYP,388.10000000000002,5,active,1
CRE-SYP-001,"CREAN MAX SYP",,,SYP,,SYP,SYP,SYP,304,5,active,1
VOM-SYP,"VOMILAX SYP",,,SYP,,SYP,SYP,SYP,88.20999999999999,5,active,1
WHI-SYP,"WHINZIN SYP",,,SYP,,SYP,SYP,SYP,105.7,5,active,1
KLA-60ML-SYP,"KLARICID 60ML SYP",,,SYP,60ML,SYP,SYP,SYP,461.76999999999998,5,active,1
PEL-SYP,"PELTON SYP",,,SYP,,SYP,SYP,SYP,151,5,active,1
